['H', 'J', 'B', 'F', 'A', 'M', 'C', 'E', 'O', 'I', 'K', 'G', 'D', 'N', 'L'] 1691
['H', 'I', 'E', 'B', 'F', 'G', 'A', 'M', 'C', 'L', 'J', 'K', 'D', 'O', 'N'] 1503
['B', 'M', 'C', 'D', 'A', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'H', 'J'] 1100
['C', 'M', 'B', 'E', 'O', 'D', 'A', 'H', 'L', 'N', 'J', 'K', 'G', 'I', 'F'] 1066
['B', 'H', 'J', 'L', 'N', 'K', 'F', 'G', 'A', 'M', 'C', 'D', 'O', 'E', 'I'] 1235
['F', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'A', 'N', 'L', 'K', 'M', 'C'] 1032
['D', 'O', 'B', 'G', 'I', 'M', 'C', 'E', 'H', 'J', 'K', 'L', 'N', 'F', 'A'] 1394
['D', 'O', 'B', 'I', 'M', 'E', 'N', 'H', 'J', 'L', 'K', 'C', 'G', 'F', 'A'] 1555
['K', 'F', 'D', 'B', 'O', 'I', 'A', 'M', 'C', 'L', 'H', 'J', 'G', 'E', 'N'] 1109
['N', 'A', 'M', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'C', 'L', 'K', 'F', 'D'] 997
['H', 'N', 'O', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'I', 'C', 'L', 'J', 'D'] 1300
['H', 'J', 'I', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'C', 'N', 'D', 'L', 'O'] 1262
['C', 'M', 'J', 'N', 'E', 'B', 'D', 'I', 'A', 'H', 'K', 'F', 'G', 'O', 'L'] 1289
['H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'A', 'M', 'B', 'F', 'G', 'C', 'D'] 1143
['L', 'H', 'J', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'D', 'F'] 1288
['L', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'B', 'M', 'C', 'D', 'A', 'G', 'F'] 1162
['H', 'J', 'N', 'E', 'B', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 960
