['J', 'G', 'I', 'A', 'M', 'B', 'E', 'O', 'K', 'H', 'C', 'L', 'F', 'N', 'D'] 1567
['F', 'B', 'A', 'G', 'J', 'K', 'M', 'C', 'L', 'I', 'N', 'H', 'E', 'O', 'D'] 1491
['N', 'O', 'M', 'B', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'D', 'F'] 2115
['N', 'O', 'M', 'B', 'K', 'J', 'L', 'A', 'C', 'F', 'G', 'E', 'I', 'H', 'D'] 1685
['N', 'O', 'K', 'F', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'B', 'M', 'D'] 1705
['N', 'I', 'K', 'A', 'E', 'O', 'J', 'L', 'H', 'C', 'F', 'G', 'B', 'M', 'D'] 1441
['E', 'D', 'F', 'L', 'I', 'J', 'N', 'H', 'O', 'B', 'K', 'A', 'G', 'M', 'C'] 2068
['C', 'J', 'N', 'O', 'F', 'I', 'H', 'L', 'K', 'A', 'G', 'B', 'M', 'E', 'D'] 1967
['G', 'N', 'O', 'B', 'I', 'A', 'E', 'J', 'L', 'H', 'C', 'K', 'M', 'F', 'D'] 1760
['D', 'M', 'E', 'O', 'I', 'K', 'N', 'L', 'H', 'C', 'F', 'G', 'B', 'A', 'J'] 1786
['I', 'E', 'O', 'J', 'F', 'G', 'B', 'K', 'H', 'C', 'L', 'N', 'A', 'M', 'D'] 1687
['N', 'I', 'E', 'O', 'J', 'L', 'H', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'D'] 1261
['N', 'O', 'B', 'I', 'A', 'D', 'J', 'F', 'H', 'L', 'K', 'G', 'M', 'E', 'C'] 1886
['N', 'I', 'O', 'D', 'M', 'A', 'E', 'J', 'L', 'H', 'C', 'G', 'K', 'F', 'B'] 1670
['N', 'O', 'I', 'D', 'F', 'E', 'C', 'H', 'J', 'M', 'G', 'K', 'A', 'B', 'L'] 1810
